#Name			RA		Dec		z	2FGL name		Threshold(0=use the default threshold, which should be 1.e-6 ph cm^-2 s^-1)
SHBLJ101015.9-311908	152.566575	-31.319119	0.143	_2FGLJ1009.7-3123	0
PKS1510-089		228.210554	-9.099953	0.360	_2FGLJ1512.8-0906	0
PKS2155-304		329.716938	-30.225588	0.117	_2FGLJ2158.8-3013	0
APLib			229.424221	-24.372077	0.049	_2FGLJ1517.7-2421	0
PKS0301-243		45.860417	-24.119861	0.260	_2FGLJ0303.4-2407	0
RGBJ0152+017		28.165187	1.787989	0.080	_2FGLJ0152.6+0148	0
3C66A			35.665046	43.035501	0.444	_2FGLJ0222.6+4302	0
# Yes, you can comment some lines out, it won't prevent the rest of the file to be read ! :-) See the example below:
# NGC1068		40.669879	-0.013289	0.00379	_2FGLJ0242.5+0006	0
PMNJ2345-1555		356.301926	-15.918843	0.621	_2FGLJ2345.0-1553	0
PG1553+113		238.929350	11.190102	0.360	_2FGLJ1555.7+1111	0
M87			187.705931	12.391123	0.00423	_2FGLJ1230.8+1224	0
WComae			185.382044	28.232917	0.10289	_2FGLJ1221.4+2814	0
Crab			83.633083	22.014500	0	_2FGLJ0534.5+2201	5.e-6
PKS0829+046		127.953654	4.494190	0.17378	_2FGLJ0831.9+0429	0
3EGJ0852-1216		132.540148	-12.226493	0.566	_2FGLJ0850.2-1212	0
PMNJ0948+0022		147.238823	0.373753	0.5839	_2FGLJ0948.8+0020	0
PKS0048-097		12.672156	-9.484781	1.5338	_2FGLJ0050.6-0929	0
3EGJ2232+1147		338.151730	11.730769	1.037	_2FGLJ2232.4+1143	0
PKS2255-282		344.524845	-27.972571	0.9265	_2FGLJ2258.0-2759	0
3C454.3			343.490616	16.148213	0.859	_2FGLJ2253.9+1609	0
PMNJ2250-2806		342.685385	-28.110925	None	_2FGLJ2250.8-2808	0
PKS2233-148		339.142030	-14.556164	None	_2FGLJ2236.5-1431	0
PKS2201+171		330.861971	17.430028	1.0755	_2FGLJ2203.4+1726	0
PKS2144+092		326.792328	9.496310	1.113	_2FGLJ2147.3+0930	0
HESSJ1943+213		295.979167	21.302222	0	None			2.e-6
# FermiJ1717-5156
